"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3","2","10μ","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"C2,C7","2","100μ","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"C4,C6","2","0.01μ","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"C5","1","1μ","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"D1,D2,D3","3","D","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"J1","1","Conn_01x02_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"Q1","1","2N3904","","","","Package_TO_SOT_THT:TO-92_Inline",""
"R1,R3,R7,R16,R17","5","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R2","1","47k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R4,R5,R8,R9,R10,R14,R15,R21","8","1m","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R6","1","100k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R11,R13","2","200k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R12","1","20k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R18","1","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R19","1","300k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R20","1","R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R22,R23","2","1K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"U1,U2,U3,U4","4","opamp2","","","","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/ds/symlink/lm2902-n.pdf"
